algorithm,round,train_loss,MAE,RMSE,R2,PPA
SCAFFOLD,26,99.99768447875977,16.445236206054688,18.105743070332856,-2.6424214839935303,11.11111111111111
SCAFFOLD,27,75.88212585449219,16.538402557373047,18.518864267017953,-2.8105368614196777,11.11111111111111
SCAFFOLD,28,72.99932403564453,16.56051254272461,18.224981848520624,-2.6905550956726074,11.11111111111111
SCAFFOLD,29,156.98307189941406,15.446901321411133,17.35351111863335,-2.346048355102539,11.11111111111111
SCAFFOLD,30,132.21367340087892,16.415800094604492,18.45919340840933,-2.786020278930664,11.11111111111111
SCAFFOLD,31,110.73556251525879,17.150062561035156,19.853185041670976,-3.3794326782226562,11.11111111111111
SCAFFOLD,32,119.15890502929688,16.94390106201172,18.95391637749101,-2.9916772842407227,11.11111111111111
SCAFFOLD,33,127.09696578979492,16.679489135742188,18.644917942642994,-2.86258864402771,22.22222222222222
SCAFFOLD,34,85.38740386962891,14.634477615356445,16.501253022675563,-2.0254592895507812,11.11111111111111
SCAFFOLD,35,109.72573852539062,15.459732055664062,17.098704399417866,-2.2485077381134033,11.11111111111111
SCAFFOLD,36,93.23665847778321,17.093795776367188,19.262817079185794,-3.1228456497192383,11.11111111111111
SCAFFOLD,37,80.38813171386718,16.285396575927734,18.207863854728917,-2.6836256980895996,22.22222222222222
SCAFFOLD,38,126.54875183105469,14.71674633026123,17.215923762780182,-2.2932002544403076,11.11111111111111
SCAFFOLD,39,98.08252563476563,14.74156379699707,16.327296068970764,-1.9620065689086914,11.11111111111111
SCAFFOLD,40,72.55711059570312,16.852867126464844,19.25800503833771,-3.120786190032959,11.11111111111111
SCAFFOLD,41,123.78852996826171,16.634056091308594,18.824812500363134,-2.9374840259552,11.11111111111111
SCAFFOLD,42,105.1310646057129,14.417046546936035,15.880485007617004,-1.8021090030670166,11.11111111111111
SCAFFOLD,43,80.54826965332032,14.798176765441895,16.33563766313786,-1.965034008026123,11.11111111111111
SCAFFOLD,44,140.43072052001952,15.851314544677734,17.741594070326656,-2.4973795413970947,11.11111111111111
SCAFFOLD,45,73.68626174926757,15.162922859191895,16.70491268058638,-2.1006011962890625,11.11111111111111
SCAFFOLD,46,74.73697357177734,14.353535652160645,15.849689160496965,-1.7912516593933105,11.11111111111111
SCAFFOLD,47,72.09380569458008,14.716320037841797,16.299512348018364,-1.9519343376159668,11.11111111111111
SCAFFOLD,48,65.93758697509766,15.872782707214355,17.962964421840635,-2.5852012634277344,11.11111111111111
SCAFFOLD,49,74.1055534362793,14.86229133605957,16.71578810650232,-2.1046395301818848,11.11111111111111
SCAFFOLD,50,66.0616584777832,15.10968017578125,17.18435251720433,-2.281132936477661,22.22222222222222
FedNova,1,1664.1183349609375,42.0,43.05810028322197,-19.600000381469727,0.0
FedNova,2,167.38961029052734,18.812538146972656,23.974539921615285,-5.3864288330078125,11.11111111111111
FedNova,3,98.63240051269531,17.175601959228516,21.853543466919657,-4.30641508102417,11.11111111111111
FedNova,4,88.64760665893554,15.418206214904785,18.093086296387238,-2.637331008911133,22.22222222222222
FedNova,5,97.68750762939453,20.460094451904297,22.29896694920985,-4.524932384490967,0.0
FedNova,6,84.45146865844727,17.43199348449707,19.9475944579341,-3.4211835861206055,11.11111111111111
FedNova,7,95.6167179107666,16.293794631958008,19.020331496951,-3.019700050354004,11.11111111111111
FedNova,8,75.50522232055664,18.988391876220703,21.663978683799275,-4.214755058288574,22.22222222222222
FedNova,9,70.43744354248047,16.75303077697754,19.619467957852954,-3.276927947998047,22.22222222222222
FedNova,10,95.47486419677735,18.604381561279297,22.06026181547235,-4.4072794914245605,22.22222222222222
FedNova,11,73.00985412597656,17.961576461791992,20.784202239781557,-3.799811840057373,22.22222222222222
FedNova,12,65.45785217285156,18.001806259155273,21.224352629261745,-4.0052571296691895,22.22222222222222
FedNova,13,74.91108627319336,16.021888732910156,18.388207911200777,-2.756957769393921,11.11111111111111
FedNova,14,78.7275375366211,16.70409393310547,19.095262732884578,-3.05143404006958,0.0
FedNova,15,97.04856033325196,18.25063133239746,21.98748492684425,-4.371661186218262,22.22222222222222
FedNova,16,67.76846542358399,16.585824966430664,19.20255049613568,-3.09708833694458,22.22222222222222
